Status,Name,Date,Key,Contents
Hurricane,Charley,2004-08-13T16:00:00Z,NA,"
000
WTNT51 KNHC 131555
TCEAT 
HURRICANE CHARLEY POSITION ESTIMATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL
12 PM EDT FRI AUG 13 2004
 
AT 12 PM EDT....1600Z...THE EYE OF HURRICANE CHARLEY WAS ESTIMATED
NEAR LATITUDE 25.4 NORTH...LONGITUDE 82.7 WEST OR ABOUT 95 MILES
SOUTH-SOUTHWEST OF FORT MYERS FLORIDA.
 
FORECASTER LAWRENCE/BROWN
 
 
$$
"
Hurricane,Charley,2004-08-13T16:55:00Z,NA,"
000
WTNT61 KNHC 131653
TCUAT 
BULLETIN
HURRICANE CHARLEY UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL
1255 PM EDT FRI AUG 13 2004

AT 1255 PM EDT...1655Z...THE TROPICAL STORM WARNING FOR THE
SOUTHEAST U.S. COAST IS EXTENDED SOUTHWARD TO JUPITER INLET
FLORIDA.

LAWRENCE
"
Hurricane,Charley,2004-08-13T17:15:00Z,NA,"
000
WTNT61 KNHC 131716
TCUAT 
BULLETIN
HURRICANE CHARLEY UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL
115 PM EDT FRI AUG 13 2004

AT 115 PM EDT...1715Z...A U.S. AIR FORCE RESERVE UNIT RECONNAISSANCE
AIRCRAFT MEASURED 10000 FT FLIGHT LEVEL WINDS OF 162 MPH AT A
DISTANCE OF 8 MILES FROM THE CENTER OF THE HURRICANE.  THIS GIVES
AN ESTIMATED SURFACE WIND OF 145 MPH...CATEGORY FOUR ON THE SAFFIR
SIMPSON HURRICANE SCALE.  A SPECIAL ADVISORY WILL FOLLOW SHORTLY.

LAWRENCE
"
Tropical Storm,Charley,2004-08-15T12:30:00Z,NA,"
000
WTNT61 KNHC 151229
TCUAT 
BULLETIN
TROPICAL STORM CHARLEY UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL
830 AM EDT SUN AUG 15 2004

AT 830 AM...1230Z...THE TROPICAL STORM WARNINGS WEST OF WATCH HILL
RHODE ISLAND AND FOR LONG ISLAND HAVE BEEN DISCONTINUED.  A
TROPICAL STORM WARNING REMAINS IN EFFECT EAST OF WATCH HILL TO
MERRIMACK RIVER MASSACHUSETTS.  THIS WARNING WILL LIKELY BE
DISCONTINUED LATER THIS MORNING.

PASCH

$$
"
Tropical Storm,Alberto,2006-06-13T16:45:00Z,AL012006,"
ZCZC MIATCUAT1 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM ALBERTO TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL012006
1245 PM EDT TUE JUN 13 2006

...ALBERTO MAKES LANDFALL...

REPORTS FROM AN AIR FORCE RESERVE UNIT HURRICANE HUNTER AIRCRAFT AND
NATIONAL WEATHER SERVICE DOPPLER RADAR OBSERVATIONS INDICATE THAT
THE CENTER OF TROPICAL STORM ALBERTO HAS MADE LANDFALL IN THE BIG
BEND AREA OF FLORIDA NEAR ADAMS BEACH...ABOUT 50 MILES SOUTHEAST OF
TALLAHASSEE FLORIDA...AROUND 1230 PM EDT.

FORECASTER PASCH

 
$$
NNNN
"
Tropical Storm,Beryl,2006-07-18T20:55:00Z,AL022006,"
ZCZC MIATCUAT2 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM BERYL TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL022006
455 PM EDT TUE JUL 18 2006
...RECONNAISSANCE AIRCRAFT DATA INDICATES THAT TROPICAL DEPRESSION
TWO HAS REACHED TROPICAL STORM STATUS...
 
SHORTLY BEFORE 445 PM CDT...RECONNAISSANCE AIRCRAFT INDICATED
FLIGHT-LEVEL WINDS OF 46-47 KT IN THE SOUTHEASTERN QUADRANT...ALONG
WITH A CENTRAL PRESSURE OF 1007 MB...OR 29.74 INCHES. MAXIMUM
SUSTAINED WINDS IN CYCLOEN ARE NOW ESTIMATED TO BE AT LEAST 40 MPH
IN THE EASTERN SEMICIRCLE...AND THE SYSTEM IS BEING DESIGNATED
TROPICAL STORM BERYL. THIS NEW STORM STATUS WILL BE REFLECTED IN
NATIONAL HURRICANE CENTER GRAPHICS PRODUCTS AND ALSO IN THE NEXT
INTERMEDIATE PUBLIC ADVISORY ISSUED AT 8 PM EDT.

$$
FORECASTER STEWART
 
 
NNNN

"
Tropical Storm,Chris,2006-08-01T21:05:00Z,AL032006,"
ZCZC MIATCUAT3 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM CHRIS TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL032006
505 PM AST TUE AUG 01 2006

BASED ON A RECENT REPORT FROM THE AIR FORCE RECONNAISSANCE
AIRCRAFT...THE MAXIMUM SUSTAINED WINDS IN CHRIS HAVE INCREASED TO
NEAR 60 MPH.  A SPECIAL ADVISORY WILL BE RELEASED SHORTLY...
PRIMARILY TO MODIFY THE INITIAL AND FORECAST INTENSITY.  NO CHANGES
IN WATCHES OR WARNINGS ARE REQUIRED AT THIS TIME.
 
$$
FORECASTER PASCH/KNABB
 
 
NNNN
"
Tropical Storm,Chris,2006-08-03T03:00:00Z,AL032006,"
ZCZC MIATCUAT3 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM CHRIS TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL032006
1100 PM AST WED AUG 02 2006

THE GOVERNMENT OF THE DOMINICAN REPUBLIC HAS MODIFIED THE TROPICAL
STORM WATCH FOR THE DOMINICAN REPUBLIC TO BE IN EFFECT FROM THE
NORTHERN BORDER WITH HAITI EASTWARD TO CABO ENGANO.
 
$$
FORECASTER BLAKE/KNABB
 
 
NNNN
"
Hurricane,Ernesto,2006-08-27T09:04:00Z,AL052006,"
ZCZC MIATCUAT5 ALL
TTAA00 KNHC DDHHMM
HURRICANE ERNESTO TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL052006
504 AM EDT SUN AUG 27 2006
...AIR FORCE RECONNAISSANCE AIRCRAFT INDICATES THAT TROPICAL STORM
ERNESTO HAS NOW REACHED HURRICANE STRENGTH...
 
RECENT DROPSONDE AND FLIGHT-LEVEL WIND DATA FROM AN AIR FORCE
RESERVE RECONNAISSANCE AIRCRAFT INDICATE THAT MAXIMUM SUSTAINED
WINDS IN TROPICAL STORM ERNESTO HAVE INCREASED TO 75 MPH. THIS
MAKES ERNESTO A CATEGORY 1 HURRICANE ON THE SAFFIR-SIMPSON
HURRICANE SCALE.
 
$$
FORECASTER STEWART
 
 
NNNN

"
Tropical Storm,Ernesto,2006-08-31T03:25:00Z,AL052006,"
ZCZC MIATCUAT5 ALL
TTAA00 KNHC DDHHMM
TROPICAL STORM ERNESTO TROPICAL CYCLONE UPDATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL052006
1125 PM EDT WED AUG 30 2006

...RADAR AND BUOY DATA INDICATE THAT ERNESTO HAS REGAINED TROPICAL
STORM STRENGTH... 

DURING THE PAST HOUR...NOAA BUOY 41009 HAS REPORTED AN 8-MINUTE
AVERAGE WIND OF 36 MPH...AND THE WSR-88D DOPPLER RADAR AT MELBOURNE
FLORIDA HAS SHOWN WINDS OF 45-60 MPH AT 1000-2500 FEET ABOVE THE
SURFACE.  BASED ON THESE DATA...IT IS ESTIMATED THAT ERNESTO HAS
REGAINED TROPICAL STORM STATUS WITH MAXIMUM SUSTAINED WINDS OF 40
MPH EAST OF THE CENTER.
 
$$
FORECASTER BEVEN
 
 
NNNN

"
