Status,Name,Date,Contents
Hurricane,Charley,2004-08-13T10:00:00Z,"
000
WTNT51 KNHC 130958
TCEAT 
HURRICANE CHARLEY POSITION ESTIMATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL
6 AM EDT FRI AUG 13 2004
 
AT 6 AM EDT....1100Z...THE EYE OF HURRICANE CHARLEY WAS ESTIMATED
NEAR LATITUDE 24.0 NORTH...LONGITUDE 82.9 WEST OR ABOUT 85 MILES
WEST-SOUTHWEST OF KEY WEST FLORIDA.
 
FORECASTER AVILA
 
 
$$
"
Hurricane,Charley,2004-08-13T12:00:00Z,"
000
WTNT51 KNHC 131158
TCEAT 
HURRICANE CHARLEY POSITION ESTIMATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL
8 AM EDT FRI AUG 13 2004
 
AT 8 AM EDT....1200Z...THE EYE OF HURRICANE CHARLEY WAS ESTIMATED
NEAR LATITUDE 24.4 NORTH...LONGITUDE 82.9 WEST OR ABOUT 75 MILES
WEST OF KEY WEST FLORIDA.
 
FORECASTER LAWRENCE
 
 
$$
"
Hurricane,Charley,2004-08-13T14:00:00Z,"
000
WTNT51 KNHC 131356
TCEAT 
HURRICANE CHARLEY POSITION ESTIMATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL
10 AM EDT FRI AUG 13 2004
 
AT 10 AM EDT....1400Z...THE EYE OF HURRICANE CHARLEY WAS ESTIMATED
NEAR LATITUDE 24.9 NORTH...LONGITUDE 82.8 WEST OR ABOUT 75 MILES
WEST-NORTHWEST OF KEY WEST FLORIDA.
 
FORECASTER LAWRENCE/BROWN
 
 
$$
"
Hurricane,Charley,2004-08-13T19:00:00Z,"
000
WTNT51 KNHC 131857
TCEAT 
HURRICANE CHARLEY POSITION ESTIMATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL
3 PM EDT FRI AUG 13 2004
 
AT 3 PM EDT....1900Z...THE EYE OF HURRICANE CHARLEY WAS ESTIMATED
NEAR LATITUDE 26.4 NORTH...LONGITUDE 82.3 WEST OR ABOUT 25 MILES
WEST-SOUTHWEST OF FORT MYERS FLORIDA.  THIS POSITION IS ALSO ABOUT
10 MILES WEST OF THE WEST END OF SANIBEL ISLAND.
 
FORECASTER LAWRENCE/BROWN
 
 
$$
"
Hurricane,Charley,2004-08-13T20:00:00Z,"
000
WTNT51 KNHC 132001
TCEAT 
HURRICANE CHARLEY POSITION ESTIMATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL
4 PM EDT FRI AUG 13 2004
 
AT 4 PM EDT....2000Z...THE EYE OF HURRICANE CHARLEY WAS ESTIMATED
NEAR LATITUDE 26.7 NORTH...LONGITUDE 82.2 WEST OR ABOUT 20 MILES
WEST-NORTHWEST OF FORT MYERS FLORIDA.  THIS POSITION IS ALSO NEAR LA
COSTA ISLAND BETWEEN CAPTIVA AND BOCA GRANDE. 
 
FORECASTER LAWRENCE/BROWN
 
 
$$
"
Hurricane,Charley,2004-08-13T22:00:00Z,"
000
WTNT51 KNHC 132154
TCEAT 
HURRICANE CHARLEY POSITION ESTIMATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL
6 PM EDT FRI AUG 13 2004
 
AT 6 PM EDT....2200Z...THE EYE OF HURRICANE CHARLEY WAS ESTIMATED
NEAR LATITUDE 27.4 NORTH...LONGITUDE 81.9 WEST OR ABOUT 85 MILES
SOUTH-SOUTHWEST OF ORLANDO FLORIDA.  THIS POSITION IS ALSO ABOUT 15
MILES NORTH-NORTHWEST OF ARCADIA FLORIDA. 
 
FORECASTER BEVEN/COBB
 
 
$$
"
Hurricane,Charley,2004-08-14T00:00:00Z,"
000
WTNT51 KNHC 132355
TCEAT 
HURRICANE CHARLEY POSITION ESTIMATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL
8 PM EDT FRI AUG 13 2004
 
AT 8 PM EDT....0000Z...THE EYE OF HURRICANE CHARLEY WAS ESTIMATED
NEAR LATITUDE 28.0 NORTH...LONGITUDE 81.6 WEST OR ABOUT 40 MILES
SOUTH-SOUTHWEST OF ORLANDO FLORIDA.  THIS POSITION IS ALSO ABOUT 10
MILES EAST OF WINTER HAVEN FLORIDA. 
 
FORECASTER BEVEN/COBB
 
 
$$
"
Hurricane,Dolly,2008-07-23T07:00:00Z,"
ZCZC MIATCEAT4 ALL
TTAA00 KNHC DDHHMM
HURRICANE DOLLY TROPICAL CYCLONE POSITION ESTIMATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL042008
200 AM CDT WED JUL 23 2008

AT 2 AM CDT THE CENTER OF HURRICANE DOLLY WAS ESTIMATED NEAR
LATITUDE 25.4 NORTH...LONGITUDE 96.3 WEST OR ABOUT 80 MILES...135
KM...EAST-SOUTHEAST OF BROWNSVILLE TEXAS.
 
$$
FORECASTER PASCH

NNNN
"
Hurricane,Dolly,2008-07-23T08:00:00Z,"
ZCZC MIATCEAT4 ALL
TTAA00 KNHC DDHHMM
HURRICANE DOLLY TROPICAL CYCLONE POSITION ESTIMATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL042008
300 AM CDT WED JUL 23 2008

AT 3 AM CDT THE CENTER OF HURRICANE DOLLY WAS ESTIMATED NEAR
LATITUDE 25.5 NORTH...LONGITUDE 96.4 WEST OR ABOUT 75 MILES...120
KM...EAST-SOUTHEAST OF BROWNSVILLE TEXAS.
 
$$
FORECASTER PASCH

NNNN
"
Hurricane,Dolly,2008-07-23T10:00:00Z,"
ZCZC MIATCEAT4 ALL
TTAA00 KNHC DDHHMM
HURRICANE DOLLY TROPICAL CYCLONE POSITION ESTIMATE
NWS TPC/NATIONAL HURRICANE CENTER MIAMI FL   AL042008
500 AM CDT WED JUL 23 2008

AT 5 AM CDT THE CENTER OF HURRICANE DOLLY WAS ESTIMATED NEAR
LATITUDE 25.7 NORTH...LONGITUDE 96.5 WEST OR ABOUT 65 MILES...105
KM...EAST-SOUTHEAST OF BROWNSVILLE TEXAS.
 
$$
FORECASTER PASCH

NNNN
"
